,Model,Domain,Result Set,Task,Language,Score
102,bloom3b,semantic,1,xstorycloze,zh,64.73
103,bloom3b,semantic,1,xwinograd,overall,70.96000000000001
104,bloom3b,semantic,1,xwinograd,en,79.4
105,bloom3b,semantic,1,xwinograd,fr,77.11
106,bloom3b,semantic,1,xwinograd,ja,56.10000000000001
107,bloom3b,semantic,1,xwinograd,pt,67.67999999999999
108,bloom3b,semantic,1,xwinograd,ru,52.7
109,bloom3b,semantic,1,xwinograd,zh,72.42
110,bloom3b,semantic,2,pawsx,overall,48.53
111,bloom3b,semantic,2,pawsx,de,46.949999999999996
112,bloom3b,semantic,2,pawsx,en,42.3
113,bloom3b,semantic,2,pawsx,es,41.949999999999996
114,bloom3b,semantic,2,pawsx,fr,53.449999999999996
115,bloom3b,semantic,2,pawsx,ja,53.7
116,bloom3b,semantic,2,pawsx,ko,50.64999999999999
117,bloom3b,semantic,2,pawsx,zh,50.7
118,bloom3b,semantic,2,xcopa,overall,56.88999999999999
119,bloom3b,semantic,2,xcopa,et,48.4
120,bloom3b,semantic,2,xcopa,ht,52.400000000000006
121,bloom3b,semantic,2,xcopa,id,69.19999999999999
122,bloom3b,semantic,2,xcopa,it,51.800000000000004
123,bloom3b,semantic,2,xcopa,qu,51.2
124,bloom3b,semantic,2,xcopa,sw,52.2
125,bloom3b,semantic,2,xcopa,ta,57.99999999999999
126,bloom3b,semantic,2,xcopa,th,54.6
127,bloom3b,semantic,2,xcopa,tr,53.800000000000004
128,bloom3b,semantic,2,xcopa,vi,70.19999999999999
129,bloom3b,semantic,2,xcopa,zh,64.0
130,bloom3b,semantic,2,xnli,overall,40.550000000000004
131,bloom3b,semantic,2,xnli,ar,33.489999999999995
132,bloom3b,semantic,2,xnli,bg,36.91
133,bloom3b,semantic,2,xnli,de,39.24
134,bloom3b,semantic,2,xnli,el,33.37
135,bloom3b,semantic,2,xnli,en,54.66
136,bloom3b,semantic,2,xnli,es,48.39
137,bloom3b,semantic,2,xnli,fr,49.0
138,bloom3b,semantic,2,xnli,hi,45.379999999999995
139,bloom3b,semantic,2,xnli,ru,42.21
140,bloom3b,semantic,2,xnli,sw,35.14
141,bloom3b,semantic,2,xnli,th,33.82
142,bloom3b,semantic,2,xnli,tr,34.260000000000005
143,bloom3b,semantic,2,xnli,ur,39.92
144,bloom3b,semantic,2,xnli,vi,43.57
145,bloom3b,semantic,2,xnli,zh,38.92
146,bloom3b,semantic,2,xstorycloze,overall,59.51
147,bloom3b,semantic,2,xstorycloze,ar,59.89
148,bloom3b,semantic,2,xstorycloze,en,70.22
149,bloom3b,semantic,2,xstorycloze,es,67.77
150,bloom3b,semantic,2,xstorycloze,eu,56.25
151,bloom3b,semantic,2,xstorycloze,hi,59.89
152,bloom3b,semantic,2,xstorycloze,id,64.66
153,bloom3b,semantic,2,xstorycloze,my,47.12
154,bloom3b,semantic,2,xstorycloze,ru,52.15
155,bloom3b,semantic,2,xstorycloze,sw,53.28000000000001
156,bloom3b,semantic,2,xstorycloze,te,58.97
157,bloom3b,semantic,2,xstorycloze,zh,64.39
158,bloom3b,semantic,2,xwinograd,overall,70.98
159,bloom3b,semantic,2,xwinograd,en,79.05
160,bloom3b,semantic,2,xwinograd,fr,73.49
161,bloom3b,semantic,2,xwinograd,ja,56.830000000000005
162,bloom3b,semantic,2,xwinograd,pt,69.58
163,bloom3b,semantic,2,xwinograd,ru,53.33
164,bloom3b,semantic,2,xwinograd,zh,72.02
165,bloom3b,random,3,pawsx,overall,47.980000000000004
166,bloom3b,random,3,pawsx,de,44.800000000000004
167,bloom3b,random,3,pawsx,en,39.6
168,bloom3b,random,3,pawsx,es,41.4
169,bloom3b,random,3,pawsx,fr,52.15
170,bloom3b,random,3,pawsx,ja,55.05
171,bloom3b,random,3,pawsx,ko,53.2
172,bloom3b,random,3,pawsx,zh,49.65
173,bloom3b,random,3,xcopa,overall,56.93
174,bloom3b,random,3,xcopa,et,49.8
175,bloom3b,random,3,xcopa,ht,51.800000000000004
176,bloom3b,random,3,xcopa,id,68.8
177,bloom3b,random,3,xcopa,it,52.6
178,bloom3b,random,3,xcopa,qu,51.6
179,bloom3b,random,3,xcopa,sw,52.6
180,bloom3b,random,3,xcopa,ta,57.199999999999996
181,bloom3b,random,3,xcopa,th,54.0
182,bloom3b,random,3,xcopa,tr,53.0
183,bloom3b,random,3,xcopa,vi,69.8
184,bloom3b,random,3,xcopa,zh,65.0
185,bloom3b,random,3,xnli,overall,40.96
186,bloom3b,random,3,xnli,ar,33.61
187,bloom3b,random,3,xnli,bg,36.67
188,bloom3b,random,3,xnli,de,42.17
189,bloom3b,random,3,xnli,el,33.410000000000004
