,Model,Domain,Result Set,Task,Score
597,bloom7b,all,2,xstorycloze,62.08
598,bloom7b,all,2,xwinograd,73.68
599,bloom7b,all,2,SET AVG,56.54200000000001
600,bloom7b,all,3,pawsx,47.14
601,bloom7b,all,3,xcopa,57.95
602,bloom7b,all,3,xnli,40.760000000000005
603,bloom7b,all,3,xstorycloze,62.03999999999999
604,bloom7b,all,3,xwinograd,73.81
605,bloom7b,all,3,SET AVG,56.34000000000001
606,bloom7b,all,1,pawsx,47.449999999999996
607,bloom7b,all,1,xcopa,58.379999999999995
608,bloom7b,all,1,xnli,40.94
609,bloom7b,all,1,xstorycloze,61.980000000000004
610,bloom7b,all,1,xwinograd,73.63
611,bloom7b,all,1,SET AVG,56.476
612,bloom7b,learned,2,pawsx,46.400000000000006
613,bloom7b,learned,2,xcopa,58.15
614,bloom7b,learned,2,xnli,41.349999999999994
615,bloom7b,learned,2,xstorycloze,61.94
616,bloom7b,learned,2,xwinograd,74.29
617,bloom7b,learned,2,SET AVG,56.426
618,bloom7b,learned,1,pawsx,46.51
619,bloom7b,learned,1,xcopa,58.10999999999999
620,bloom7b,learned,1,xnli,41.47
621,bloom7b,learned,1,xstorycloze,61.96
622,bloom7b,learned,1,xwinograd,74.06
623,bloom7b,learned,1,SET AVG,56.422000000000004
624,bloom7b,learned,3,pawsx,47.74
625,bloom7b,learned,3,xcopa,57.98
626,bloom7b,learned,3,xnli,40.96
627,bloom7b,learned,3,xstorycloze,61.99
628,bloom7b,learned,3,xwinograd,74.17
629,bloom7b,learned,3,SET AVG,56.568000000000005
