,Model,Domain,Result Set,Task,Score
119,bloom3b,typo,1,SET AVG,55.352
120,bloom3b,typo,3,pawsx,47.11
121,bloom3b,typo,3,xcopa,56.85
122,bloom3b,typo,3,xnli,41.260000000000005
123,bloom3b,typo,3,xstorycloze,59.440000000000005
124,bloom3b,typo,3,xwinograd,70.65
125,bloom3b,typo,3,SET AVG,55.06200000000001
126,bloom1_7b,typo,3,pawsx,51.65
127,bloom1_7b,typo,3,xcopa,55.910000000000004
128,bloom1_7b,typo,3,xnli,40.27
129,bloom1_7b,typo,3,xstorycloze,57.65
130,bloom1_7b,typo,3,xwinograd,67.47999999999999
131,bloom1_7b,typo,3,SET AVG,54.592000000000006
132,bloom1_7b,typo,2,pawsx,50.88
133,bloom1_7b,typo,2,xcopa,55.87
134,bloom1_7b,typo,2,xnli,40.06
135,bloom1_7b,typo,2,xstorycloze,58.220000000000006
136,bloom1_7b,typo,2,xwinograd,68.08
137,bloom1_7b,typo,2,SET AVG,54.622
138,bloom1_7b,typo,1,pawsx,51.33
139,bloom1_7b,typo,1,xcopa,55.779999999999994
140,bloom1_7b,typo,1,xnli,39.98
141,bloom1_7b,typo,1,xstorycloze,57.97
142,bloom1_7b,typo,1,xwinograd,67.16
143,bloom1_7b,typo,1,SET AVG,54.443999999999996
144,bloom1_7b,family,3,pawsx,51.71
145,bloom1_7b,family,3,xcopa,56.330000000000005
146,bloom1_7b,family,3,xnli,39.6
147,bloom1_7b,family,3,xstorycloze,57.66
148,bloom1_7b,family,3,xwinograd,68.17
149,bloom1_7b,family,3,SET AVG,54.694
150,bloom1_7b,family,2,pawsx,51.800000000000004
151,bloom1_7b,family,2,xcopa,56.16
152,bloom1_7b,family,2,xnli,39.79
153,bloom1_7b,family,2,xstorycloze,58.02
154,bloom1_7b,family,2,xwinograd,67.41
155,bloom1_7b,family,2,SET AVG,54.636
156,bloom1_7b,family,1,pawsx,52.459999999999994
157,bloom1_7b,family,1,xcopa,56.089999999999996
158,bloom1_7b,family,1,xnli,39.589999999999996
159,bloom1_7b,family,1,xstorycloze,57.43000000000001
160,bloom1_7b,family,1,xwinograd,67.97
161,bloom1_7b,family,1,SET AVG,54.70799999999999
162,bloom1_7b,all,3,pawsx,51.64
163,bloom1_7b,all,3,xcopa,56.379999999999995
164,bloom1_7b,all,3,xnli,40.0
165,bloom1_7b,all,3,xstorycloze,58.269999999999996
166,bloom1_7b,all,3,xwinograd,67.16
167,bloom1_7b,all,3,SET AVG,54.68999999999998
168,bloom1_7b,all,2,pawsx,51.739999999999995
169,bloom1_7b,all,2,xcopa,56.24
170,bloom1_7b,all,2,xnli,40.2
171,bloom1_7b,all,2,xstorycloze,58.29
172,bloom1_7b,all,2,xwinograd,67.54
173,bloom1_7b,all,2,SET AVG,54.802
174,bloom1_7b,all,1,pawsx,51.980000000000004
175,bloom1_7b,all,1,xcopa,56.24
176,bloom1_7b,all,1,xnli,40.28
177,bloom1_7b,all,1,xstorycloze,58.19
178,bloom1_7b,all,1,xwinograd,67.36
179,bloom1_7b,all,1,SET AVG,54.81
180,bloom1_7b,random,1,pawsx,51.01
181,bloom1_7b,random,1,xcopa,56.00000000000001
182,bloom1_7b,random,1,xnli,39.800000000000004
183,bloom1_7b,random,1,xstorycloze,57.879999999999995
184,bloom1_7b,random,1,xwinograd,67.34
185,bloom1_7b,random,1,SET AVG,54.40599999999999
186,bloom1_7b,random,2,pawsx,50.449999999999996
187,bloom1_7b,random,2,xcopa,55.76
188,bloom1_7b,random,2,xnli,40.0
189,bloom1_7b,random,2,xstorycloze,57.65
190,bloom1_7b,random,2,xwinograd,67.5
191,bloom1_7b,random,2,SET AVG,54.272000000000006
192,bloom1_7b,random,3,pawsx,51.99
193,bloom1_7b,random,3,xcopa,55.800000000000004
194,bloom1_7b,random,3,xnli,40.12
195,bloom1_7b,random,3,xstorycloze,57.85
196,bloom1_7b,random,3,xwinograd,67.25
197,bloom1_7b,random,3,SET AVG,54.602
198,bloom1_7b,semantic,2,pawsx,52.94
199,bloom1_7b,semantic,2,xcopa,56.04
200,bloom1_7b,semantic,2,xnli,39.879999999999995
201,bloom1_7b,semantic,2,xstorycloze,57.50999999999999
202,bloom1_7b,semantic,2,xwinograd,67.67999999999999
203,bloom1_7b,semantic,2,SET AVG,54.80999999999999
204,bloom1_7b,semantic,3,pawsx,52.480000000000004
