Language,"ISO 639-1
Code","ISO 639-3
Code",language family,"primary 
subfamily",rest of subfamilies,SVO Order,SCRIPT,"AVAILABILITY
 (TAXONOMY)
SCORE",,"XNLI avail.
(bg, el missing)","XCOPA
(ht, qu missing)","XSTORY
(eu missing)",XWINOGRAD,PAWSX,,"Language
Family","Language
Family 
(By High
 Resource)",Typology,Learned,Geo,"Semantic 
(Colex2Lang)",Random
Afrikaans,af,afr,F_Indo-European,F_Germanic,F_Northwest_Germanic / F_West_Germanic / F_Franconian / F_Low_Franconian / F_Afrikaansic,S_SVO/S_SOV,Latin,3,,,,,,,,,,,,T,,
Bengali,bn,ben,F_Indo-European,F_Indo-Iranian,F_Indo-Aryan / F_Indo-Aryan_Eastern_zone / F_Oriya-Gauda-Kamrupa / F_Gauda-Kamrupa / F_Gauda-Banga,S_SOV,Bengali,3,,,,,,,,,,T,,T,T,
Galician,gl,glg,F_Indo-European,F_Italic,F_Latino-Faliscan / F_Latinic / F_Imperial_Latin / F_Romance / F_Italo-Western_Romance / F_Western_Romance / F_Shifted_Western_Romance / F_Southwestern_Shifted_Romance / F_West_Ibero-Romance,S_SOV,Latin,3,,,,,,,,,,,,,T,
Lithuanian,lt,lit,F_Indo-European,F_Balto-Slavic,F_Eastern_Baltic,S_SVO,Latin,3,,,,,,,,,,,T,,,
Latvian,lv,lav,F_Indo-European,F_Balto-Slavic,F_Eastern_Baltic,S_SVO,Latin,3,,,,,,,,,,,T,,,T
Romanian,ro,ron,F_Indo-European,F_Italic,F_Latino-Faliscan / F_Latinic / F_Imperial_Latin / F_Romance / F_Eastern_Romance / F_Macro-Romanian,S_SVO,Latin,3,,,,,,,,,,,,,,
Slovenian,sl,slv,F_Indo-European,F_Balto-Slavic,F_Slavic / F_South_Slavic / F_Western_South_Slavic,S_SVO,Latin,3,,,,,,,,,,,T,,T,
Ukrainian,uk,ukr,F_Indo-European,F_Balto-Slavic,F_Slavic / F_East_Slavic / F_Ukrainian-Rusyn,S_SOV,Cyrillic,3,,,,,,,,,,,T,,T,
Urdu,ur,urd,F_Indo-European,F_Indo-Iranian,F_Indo-Aryan / F_Indo-Aryan_Central_zone / F_Subcontinental_Central_Indo-Aryan / F_Western_Hindi / F_Hindustani,S_SVO,Arabic (Nastaʿlīq),3,,T,,,,,,,,,,T,,
Marathi,mr,mar,F_Indo-European,F_Indo-Iranian,F_Indo-Aryan / F_Indo-Aryan_Southern_zone / F_Maharastric / F_Marathic,S_SOV,Devanagari,2,,,,,,,,,,,,,,
Gujarati,gu,guj,F_Indo-European,F_Indo-Iranian,F_Indo-Aryan / F_Indo-Aryan_Central_zone / F_Subcontinental_Central_Indo-Aryan / F_Gujarati-Rajasthani / F_Gujaratic,S_SVO,Gujarati,1,,,,,,,,,,,,,T,T
Macedonian,mk,mkd,F_Indo-European,F_Balto-Slavic,F_Slavic / F_South_Slavic / F_Eastern_South_Slavic / F_Macedo-Bulgarian,S_SOV,Cyrillic,1,,,,,,,,,,T,,,,T
Nepali,ne,nep,F_Indo-European,F_Indo-Iranian,F_Indo-Aryan / F_Indo-Aryan_Northern_zone,S_SOV,Devanagari,1,,,,,,,,,,,,,,
Pashto,ps,pus,F_Indo-European,F_Indo-Iranian,F_Iranian / F_Eastern_Iranian / F_Southeastern_Iranian / F_Pashto,S_SVO/S_SOV,Arabic (Naskh),1,,,,,,,,,,,,,T,T
Sinhala,si,sin,F_Indo-European,F_Indo-Iranian,F_Indo-Aryan / F_Sinhalese-Maldivian / F_Sinhalaic,S_SOV,Sinhala,0,,,,,,,,,,,,,,T
Japanese,ja,jpn,F_Japonic,F_Japanese,F_Japan-Taiwan_Japanese,S_SOV,"Kanji, Hiragana, Katakana",5,,,,,T,T,,T,T,T,,T,,
Georgian,ka,kat,F_Kartvelian,F_Georgian-Zan,F_Georgic,S_SVO,Georgian,3,,,,,,,,T,T,,,T,T,
Korean,ko,kor,F_Koreanic,,,S_SVO,Hangul,4,,,,,,T,,T,T,,T,,T,T
Mongolian,mn,mon,F_Mongolic,F_Eastern_Mongolic,F_Oirat-Khalkha / F_Khalkha-Buriat,S_SOV,Cyrillic ,1,,,,,,,,T,T,,,T,,
Burmese,my,mya,F_Sino-Tibetan,F_Burmo-Qiangic,F_Lolo-Burmese / F_Burmish / F_Southern_Burmish / F_Nuclear_Southern_Burmish / F_Old-Modern_Burmese,S_SVO,Burmese,1,,,,T,,,,T,,,T,,T,
Chinese,zh,zho,F_Sino-Tibetan,,,S_SVO/S_SOV,Simplified Chinese ,1,,,T,T,T,T,,,T,T,,,,T
Thai,th,tha,F_Tai-Kadai,F_Kam-Tai,F_Be-Tai / F_Daic / F_Central-Southwestern_Tai / F_Wenma-Southwestern_Tai / F_Sapa-Southwestern_Tai / F_Southwestern_Tai / F_Sputhwestern_Thai_PH / F_Lao-Thai,S_SOV,Thai,3,,T,T,,,,,T,T,,,,,
Turkish,tr,tur,F_Turkic,F_Common_Turkic,F_Oghuz-Kipchak-Uyghur / F_Oghuz / F_West_Oghuz / F_Nuclear_West_Oghuz,S_SVO,Latin,4,,T,T,,,,,,T,,,,,
Kazakh,kk,kaz,F_Turkic,F_Common_Turkic,F_Oghuz-Kipchak-Uyghur / F_Oghuz / F_Kipchak / F_South_Kipchak,S_SVO,Cyrillic,3,,,,,,,,,,,,T,,
Azerbaijani,az,aze,F_Turkic,F_Common_Turkic,F_Oghuz-Kipchak-Uyghur,S_SOV,Latin ,1,,,,,,,,T,,T,,,,
Finnish,fi,fin,F_Uralic,F_Finnic,F_Nuclear_Finnish,S_SVO,Latin,4,,,,,,,,T,T,,T,,,
Estonian,et,est,F_Uralic,F_Finnic,,S_SVO,Latin,3,,,T,,,,,,,T,,T,,
,,,A_uniq lang family,,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,,,,,,,,,,,
