,Model,Domain,Result Set,Task,Score
116,bloom3b,resource,2,xwinograd,71.63000000000001
117,bloom3b,resource,2,SET AVG,55.414
118,bloom3b,resource,2,VI AVG,57.44499999999999
119,bloom3b,resource,4,pawsx,47.36
120,bloom3b,resource,4,xcopa,57.29
121,bloom3b,resource,4,xnli,40.8
122,bloom3b,resource,4,xstorycloze,59.34
123,bloom3b,resource,4,xwinograd,71.84
124,bloom3b,resource,4,SET AVG,55.326
125,bloom3b,resource,4,VI AVG,57.269999999999996
126,bloom3b,resource,3,pawsx,46.93
127,bloom3b,resource,3,xcopa,57.35
128,bloom3b,resource,3,xnli,40.89
129,bloom3b,resource,3,xstorycloze,59.419999999999995
130,bloom3b,resource,3,xwinograd,72.11
131,bloom3b,resource,3,SET AVG,55.339999999999996
132,bloom3b,resource,3,VI AVG,57.225
133,bloom3b,geo,3,pawsx,48.089999999999996
134,bloom3b,geo,3,xcopa,57.18
135,bloom3b,geo,3,xnli,40.83
136,bloom3b,geo,3,xstorycloze,59.8
137,bloom3b,geo,3,xwinograd,71.36
138,bloom3b,geo,3,SET AVG,55.452
139,bloom3b,geo,3,VI AVG,56.60499999999999
140,bloom3b,geo,2,pawsx,48.370000000000005
141,bloom3b,geo,2,xcopa,57.220000000000006
142,bloom3b,geo,2,xnli,40.88
143,bloom3b,geo,2,xstorycloze,59.86
144,bloom3b,geo,2,xwinograd,71.67999999999999
145,bloom3b,geo,2,SET AVG,55.602
146,bloom3b,geo,2,VI AVG,56.93
147,bloom3b,geo,1,pawsx,48.91
148,bloom3b,geo,1,xcopa,57.42
149,bloom3b,geo,1,xnli,40.75
150,bloom3b,geo,1,xstorycloze,59.760000000000005
151,bloom3b,geo,1,xwinograd,71.36
152,bloom3b,geo,1,SET AVG,55.64
153,bloom3b,geo,1,VI AVG,56.765
154,bloom3b,typology,2,pawsx,46.79
155,bloom3b,typology,2,xcopa,56.96
156,bloom3b,typology,2,xnli,40.949999999999996
157,bloom3b,typology,2,xstorycloze,59.419999999999995
158,bloom3b,typology,2,xwinograd,71.41
159,bloom3b,typology,2,SET AVG,55.105999999999995
160,bloom3b,typology,2,VI AVG,57.51
161,bloom3b,typology,3,pawsx,47.47
162,bloom3b,typology,3,xcopa,57.07
163,bloom3b,typology,3,xnli,40.88
164,bloom3b,typology,3,xstorycloze,59.67
165,bloom3b,typology,3,xwinograd,71.52
166,bloom3b,typology,3,SET AVG,55.32199999999999
167,bloom3b,typology,3,VI AVG,57.93
168,bloom3b,typology,1,pawsx,47.27
169,bloom3b,typology,1,xcopa,56.93
170,bloom3b,typology,1,xnli,40.92
171,bloom3b,typology,1,xstorycloze,59.61
172,bloom3b,typology,1,xwinograd,71.14
173,bloom3b,typology,1,SET AVG,55.174
174,bloom3b,typology,1,VI AVG,57.309999999999995
175,bloom1_7b,random,3,pawsx,51.04
176,bloom1_7b,random,3,xcopa,55.64
