Model,Domain,Task,Mean,Std_Dev,Count,Std_Error,Margin_of_Error,CI Lower,CI Upper
bloom1_7b,all,SET AVG,54.76733333333333,0.06709197666885561,3,0.03873557079022788,0.16666570940524542,54.60066762392809,54.93399904273858
bloom1_7b,all,pawsx,51.78666666666667,0.17473789896108374,3,0.10088497300281134,0.43407300449757147,51.3525936621691,52.22073967116424
bloom1_7b,all,xcopa,56.28666666666667,0.0808290376865464,3,0.04666666666666597,0.20079046072918982,56.08587620593748,56.48745712739586
bloom1_7b,all,xnli,40.160000000000004,0.1442220510185597,3,0.08326663997864539,0.35826743581465786,39.80173256418534,40.518267435814664
bloom1_7b,all,xstorycloze,58.25,0.05291502622129371,3,0.03055050463304003,0.13144821215951671,58.11855178784048,58.38144821215952
bloom1_7b,all,xwinograd,67.35333333333334,0.1900876990584519,3,0.10974718422103379,0.4722040217887066,66.88112931154463,67.82553735512205
bloom1_7b,family,SET AVG,54.67933333333334,0.03817503547258409,3,0.02204036700641994,0.09483204526841914,54.58450128806492,54.77416537860176
bloom1_7b,family,pawsx,51.99,0.4095119045888595,3,0.23643180835073438,1.0172839656381465,50.97271603436185,53.00728396563815
bloom1_7b,family,xcopa,56.19333333333333,0.12342339054383183,3,0.07125852775477763,0.3066006989735523,55.886732634359774,56.49993403230688
bloom1_7b,family,xnli,39.66,0.11269427669584617,3,0.06506407098647696,0.279948102649106,39.38005189735089,39.939948102649105
bloom1_7b,family,xstorycloze,57.70333333333334,0.2973774257292127,3,0.17169093679567893,0.738726477904952,56.964606855428386,58.442059811238295
bloom1_7b,family,xwinograd,67.85000000000001,0.3939543120718443,3,0.22744962812309313,0.9786367633611309,66.87136323663887,68.82863676336115
bloom1_7b,geo,SET AVG,54.581999999999994,0.09114823092085034,3,0.052624455658311114,0.22642475779832713,54.35557524220167,54.80842475779832
bloom1_7b,geo,pawsx,50.86666666666667,0.11590225767142548,3,0.06691619966628287,0.28791716916941995,50.57874949749725,51.154583835836085
bloom1_7b,geo,xcopa,56.06666666666667,0.15143755588800656,3,0.08743251365735959,0.376191743570843,55.69047492309583,56.44285841023751
bloom1_7b,geo,xnli,40.05,0.18357559750685998,3,0.105987420637232,0.4560270647410408,39.593972935258954,40.50602706474104
bloom1_7b,geo,xstorycloze,58.24,0.01999999999999602,3,0.01154700538379022,0.049682754236865176,58.19031724576314,58.289682754236864
bloom1_7b,geo,xwinograd,67.68666666666667,0.5179124765183143,3,0.2990169077345145,1.2865659143535366,66.40010075231314,68.9732325810202
bloom1_7b,learned,SET AVG,54.663999999999994,0.09303762679690278,3,0.05371529887595576,0.23111827734663107,54.43288172265336,54.895118277346626
bloom1_7b,learned,pawsx,51.74,0.2718455443813674,3,0.15695009822658282,0.6753017685944492,51.06469823140555,52.41530176859445
bloom1_7b,learned,xcopa,56.08666666666667,0.14640127503998826,3,0.08452481555404166,0.3636809283888443,55.72298573827783,56.45034759505552
bloom1_7b,learned,xnli,40.02333333333333,0.09814954576223327,3,0.056666666666664874,0.24381698802829785,39.779516345305034,40.26715032136163
bloom1_7b,learned,xstorycloze,57.98,0.17691806012953867,3,0.10214368964029556,0.4394888250740277,57.54051117492597,58.419488825074026
bloom1_7b,learned,xwinograd,67.49,0.46119410230400937,3,0.26627053911388765,1.1456696620133155,66.34433033798668,68.63566966201331
bloom1_7b,random,SET AVG,54.42666666666667,0.16596786837617813,3,0.09582159348381483,0.41228704078758427,54.01437962587909,54.83895370745425
bloom1_7b,random,pawsx,51.15,0.7794870107962063,3,0.45003703551300644,1.9363530794112145,49.213646920588786,53.08635307941121
